com.samsung.shealth.report,6212007,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Toronto,1575176400000,2019-12-13 20:40:15.219,2019-12-13 20:40:14.601,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,858067bd-f6eb-4edd-9bd6-28a3ee3f4f4a,858067bd-f6eb-4edd-9bd6-28a3ee3f4f4a.compressed_content.json,
America/Toronto,1578805200000,2020-01-19 20:34:41.076,2020-01-19 20:34:40.301,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,4aa99f9b-ae6d-4079-a986-3d78bf90df9b,4aa99f9b-ae6d-4079-a986-3d78bf90df9b.compressed_content.json,
America/Toronto,1582434000000,2020-03-01 20:52:21.382,2020-03-01 20:52:20.722,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,aff596cd-d2fa-4f35-865f-8a1e0003dada,aff596cd-d2fa-4f35-865f-8a1e0003dada.compressed_content.json,
America/Toronto,1586059200000,2020-04-12 20:05:15.416,2020-04-12 20:05:14.167,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,3ee86bd2-2ee2-40f3-b390-e93bcfbc717f,3ee86bd2-2ee2-40f3-b390-e93bcfbc717f.compressed_content.json,
America/Toronto,1589688000000,2020-05-24 19:35:16.747,2020-05-24 19:35:15.526,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,23ab6d3e-4c9a-417e-b23b-3b19d30e42e7,23ab6d3e-4c9a-417e-b23b-3b19d30e42e7.compressed_content.json,
America/Toronto,1593316800000,2020-07-06 19:35:29.794,2020-07-05 19:36:23.257,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,efd2a68e-1335-4c8d-b5b9-7d18fd343e93,efd2a68e-1335-4c8d-b5b9-7d18fd343e93.compressed_content.json,
America/Toronto,1596945600000,2020-08-16 19:41:03.061,2020-08-16 19:41:01.903,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,74b971e0-44b9-4369-9c5f-d99bc3c9d729,74b971e0-44b9-4369-9c5f-d99bc3c9d729.compressed_content.json,
America/Toronto,1575781200000,2019-12-16 20:36:15.406,2019-12-15 20:42:41.304,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,d256d65a-4ed9-4ae9-90f9-550b9cbd1ce4,d256d65a-4ed9-4ae9-90f9-550b9cbd1ce4.compressed_content.json,
America/Toronto,1579410000000,2020-01-27 20:47:31.943,2020-01-26 20:52:56.793,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,a24cd835-bef3-409d-9ca2-fabfea625c2c,a24cd835-bef3-409d-9ca2-fabfea625c2c.compressed_content.json,
America/Toronto,1600574400000,2020-09-28 19:55:44.531,2020-09-27 19:54:39.920,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,990a8929-64ec-4d89-87f7-75fdc9e7a29d,990a8929-64ec-4d89-87f7-75fdc9e7a29d.compressed_content.json,
America/Toronto,1604203200000,2020-11-09 20:34:44.619,2020-11-08 20:37:29.540,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,193b0b1b-bf55-412e-baae-e3b5dc66043c,193b0b1b-bf55-412e-baae-e3b5dc66043c.compressed_content.json,
America/Toronto,1583038800000,2020-03-08 19:34:35.438,2020-03-08 19:34:34.595,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,f5c38de1-470d-43a1-a7cf-a68c62568bd2,f5c38de1-470d-43a1-a7cf-a68c62568bd2.compressed_content.json,
America/Toronto,1607835600000,2020-12-22 20:37:30.402,2020-12-20 20:34:36.226,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,edb77d33-698c-439d-97d8-a4c586e09da2,edb77d33-698c-439d-97d8-a4c586e09da2.compressed_content.json,
America/Toronto,1586664000000,2020-04-19 19:36:47.687,2020-04-19 19:35:53.068,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,ab2691ee-a099-4ae2-8889-63e4df57f9e3,ab2691ee-a099-4ae2-8889-63e4df57f9e3.compressed_content.json,
America/Toronto,1576386000000,2019-12-22 20:51:40.563,2019-12-22 20:51:39.577,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,8abfd272-407b-4655-8fc8-cb64ea4ad866,8abfd272-407b-4655-8fc8-cb64ea4ad866.compressed_content.json,
America/Toronto,1611464400000,2021-01-31 20:35:45.439,2021-01-31 20:35:44.353,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,2c8b6d04-e794-4c1e-9dda-4b6b183fe548,2c8b6d04-e794-4c1e-9dda-4b6b183fe548.compressed_content.json,
America/Toronto,1580014800000,2020-02-02 20:35:26.588,2020-02-02 20:35:25.719,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,a39010b5-18e4-46fb-9477-433cf3382cd1,a39010b5-18e4-46fb-9477-433cf3382cd1.compressed_content.json,
America/Toronto,1590292800000,2020-05-31 19:48:05.764,2020-05-31 19:48:04.613,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,bd8e78a4-e6f5-4887-a597-8304a43f34a5,bd8e78a4-e6f5-4887-a597-8304a43f34a5.compressed_content.json,
America/Toronto,1583643600000,2020-03-15 19:34:44.363,2020-03-15 19:34:43.522,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,aa6b09bb-42f0-4c7a-b1d9-d8021206dbba,aa6b09bb-42f0-4c7a-b1d9-d8021206dbba.compressed_content.json,
America/Toronto,1616904000000,2021-04-04 19:35:47.517,2021-04-04 19:35:46.821,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,bd13395e-db61-4280-bf03-6834158112c1,bd13395e-db61-4280-bf03-6834158112c1.compressed_content.json,
America/Toronto,1593921600000,2020-07-13 19:35:34.178,2020-07-12 19:38:17.974,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,4a5fa374-3f1c-4756-a3b0-897eb1973d72,4a5fa374-3f1c-4756-a3b0-897eb1973d72.compressed_content.json,
America/Toronto,1587268800000,2020-04-27 19:35:00.720,2020-04-26 19:57:16.360,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,b2e30d91-251d-4b87-b34a-0748a296bd8b,b2e30d91-251d-4b87-b34a-0748a296bd8b.compressed_content.json,
America/Toronto,1597550400000,2020-08-24 19:34:42.561,2020-08-23 19:38:40.562,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,bcebd996-7933-4b6f-9982-d57f0108b7bd,bcebd996-7933-4b6f-9982-d57f0108b7bd.compressed_content.json,
America/Toronto,1620532800000,2021-05-16 19:37:39.413,2021-05-16 19:37:38.496,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,07d56de6-0da9-4a2c-9ddb-9c087df75af2,07d56de6-0da9-4a2c-9ddb-9c087df75af2.compressed_content.json,
America/Toronto,1590897600000,2020-06-07 19:37:11.747,2020-06-07 19:37:10.458,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,a7a973f1-dfd8-4fb6-ad4b-cb606bb6fecb,a7a973f1-dfd8-4fb6-ad4b-cb606bb6fecb.compressed_content.json,
America/Toronto,1624161600000,2021-06-27 19:35:12.670,2021-06-27 19:35:12.027,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,04f37c13-3d72-4788-a78e-f4f44fcce786,04f37c13-3d72-4788-a78e-f4f44fcce786.compressed_content.json,
America/Toronto,1601179200000,2020-10-05 19:39:02.573,2020-10-04 19:38:22.229,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,cece592c-eaf7-4fa5-974b-9bafc99f5d5e,cece592c-eaf7-4fa5-974b-9bafc99f5d5e.compressed_content.json,
America/Toronto,1627790400000,2021-08-09 19:34:49.134,2021-08-08 20:07:12.729,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,b2da28c5-2d9a-474f-b2c8-bc2030d3d28c,b2da28c5-2d9a-474f-b2c8-bc2030d3d28c.compressed_content.json,
America/Toronto,1594526400000,2020-07-20 19:35:29.788,2020-07-19 19:34:36.903,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,39829b38-a47f-4fdd-a8f4-004e61828c9f,39829b38-a47f-4fdd-a8f4-004e61828c9f.compressed_content.json,
America/Toronto,1604811600000,2020-11-16 20:36:08.143,2020-11-15 20:34:38.093,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,b829754b-3b9d-449e-bb00-103b3e6be28a,b829754b-3b9d-449e-bb00-103b3e6be28a.compressed_content.json,
America/Toronto,1631419200000,2021-09-19 19:35:32.153,2021-09-19 19:35:16.716,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,0b4c9322-fe4a-480e-b5fb-28062b4f9f54,0b4c9322-fe4a-480e-b5fb-28062b4f9f54.compressed_content.json,
America/Toronto,1598155200000,2020-08-31 19:43:35.173,2020-08-30 19:46:09.848,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,c26540b6-7463-46a0-8ecf-3984312e6f9d,c26540b6-7463-46a0-8ecf-3984312e6f9d.compressed_content.json,
America/Toronto,1608440400000,2020-12-28 20:57:00.946,2020-12-27 20:34:36.162,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,6a73ab53-46c1-44a2-83b4-9db5173bf8c6,6a73ab53-46c1-44a2-83b4-9db5173bf8c6.compressed_content.json,
America/Toronto,1601784000000,2020-10-11 19:34:49.340,2020-10-11 19:34:38.999,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,56d7818c-f266-45a1-9678-42886f656780,56d7818c-f266-45a1-9678-42886f656780.compressed_content.json,
America/Toronto,1612069200000,2021-02-07 20:36:43.663,2021-02-07 20:36:42.954,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,02dab4bc-6b50-4507-b4d5-b64ed56a7cb7,02dab4bc-6b50-4507-b4d5-b64ed56a7cb7.compressed_content.json,
America/Toronto,1635048000000,2021-10-31 20:06:07.926,2021-10-31 20:06:06.525,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,8d011da9-f723-4da2-963f-2098d180ca92,8d011da9-f723-4da2-963f-2098d180ca92.compressed_content.json,
America/Toronto,1605416400000,2020-11-22 20:38:03.373,2020-11-22 20:38:02.505,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,44b65e9b-cce6-44c6-a0b3-8d61369e47d2,44b65e9b-cce6-44c6-a0b3-8d61369e47d2.compressed_content.json,
America/Toronto,1617508800000,2021-04-16 19:36:51.951,2021-04-16 19:36:51.265,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,82953229-0f88-486d-8db9-2ccf962a7053,82953229-0f88-486d-8db9-2ccf962a7053.compressed_content.json,
America/Toronto,1609045200000,2021-01-05 20:40:25.838,2021-01-03 20:35:05.666,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,1fb3a9ce-0053-4313-9493-148bc7e8cb23,1fb3a9ce-0053-4313-9493-148bc7e8cb23.compressed_content.json,
America/Toronto,1638680400000,2021-12-12 20:37:57.758,2021-12-12 20:37:56.050,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,8b6d2b8c-5a00-4fb1-8db5-7d6e5c76993b,8b6d2b8c-5a00-4fb1-8db5-7d6e5c76993b.compressed_content.json,
America/Toronto,1621137600000,2021-05-23 19:34:49.073,2021-05-23 19:34:48.115,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,ff2e21ab-f116-4c6f-9e57-42d92d5d1367,ff2e21ab-f116-4c6f-9e57-42d92d5d1367.compressed_content.json,
America/Toronto,1612674000000,2021-02-14 20:34:36.730,2021-02-14 20:34:36.053,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,fe75c3d8-c60c-4824-9605-c0aaa6daa972,fe75c3d8-c60c-4824-9605-c0aaa6daa972.compressed_content.json,
America/Toronto,1642309200000,2022-01-23 20:34:43.210,2022-01-23 20:34:41.777,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,a36e748e-89a4-4d51-a3a3-bbb42b34c6fe,a36e748e-89a4-4d51-a3a3-bbb42b34c6fe.compressed_content.json,
America/Toronto,1618113600000,2021-04-18 20:04:02.175,2021-04-18 20:04:01.361,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,8b291538-6e1f-4ba7-b50c-de14fb49ae0c,8b291538-6e1f-4ba7-b50c-de14fb49ae0c.compressed_content.json,
America/Toronto,1645938000000,2022-03-06 20:56:12.810,2022-03-06 20:56:11.057,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,90e0e6c7-9aff-4d29-8586-b99c6a7df583,90e0e6c7-9aff-4d29-8586-b99c6a7df583.compressed_content.json,
America/Toronto,1624766400000,2021-07-04 19:35:11.519,2021-07-04 19:35:10.516,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,3ef282f9-f2a2-4761-9966-cc5b41176cc5,3ef282f9-f2a2-4761-9966-cc5b41176cc5.compressed_content.json,
America/Toronto,1621742400000,2021-05-30 19:34:35.398,2021-05-30 19:34:34.459,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,04878687-74ea-4e03-ac25-77118b0fecb3,04878687-74ea-4e03-ac25-77118b0fecb3.compressed_content.json,
America/Toronto,1649563200000,2022-04-17 19:35:28.936,2022-04-17 19:35:27.103,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,b63c9e98-d98b-4652-87a6-f36504575962,b63c9e98-d98b-4652-87a6-f36504575962.compressed_content.json,
America/Toronto,1625371200000,2021-07-11 19:35:33.107,2021-07-11 19:35:32.116,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,2bae4d4b-d35e-4c0b-b6e8-761231c410e7,2bae4d4b-d35e-4c0b-b6e8-761231c410e7.compressed_content.json,
America/Toronto,1628395200000,2021-08-15 19:35:19.430,2021-08-15 19:35:18.842,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,131e84f3-1661-410e-a60b-3ac0cd6ac0f9,131e84f3-1661-410e-a60b-3ac0cd6ac0f9.compressed_content.json,
America/Toronto,1576990800000,2019-12-29 20:34:36.068,2019-12-29 20:34:35.331,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,46151c57-aa4f-4869-9b31-6a5d16168511,46151c57-aa4f-4869-9b31-6a5d16168511.compressed_content.json,
America/Toronto,1629000000000,2021-08-22 19:35:53.420,2021-08-22 19:35:52.325,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,bf4795ab-e7cb-4075-b59d-41aaccbb22f2,bf4795ab-e7cb-4075-b59d-41aaccbb22f2.compressed_content.json,
America/Toronto,1632024000000,2021-09-27 19:35:40.587,2021-09-27 19:35:38.177,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,ace9a521-c8fc-4120-95c6-9f89059b7108,ace9a521-c8fc-4120-95c6-9f89059b7108.compressed_content.json,
America/Toronto,1580619600000,2020-02-09 20:56:15.516,2020-02-09 20:56:14.776,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,5ac2486b-eb12-4870-8295-5913dbf9545f,5ac2486b-eb12-4870-8295-5913dbf9545f.compressed_content.json,
America/Toronto,1632628800000,2021-10-03 19:35:04.041,2021-10-03 19:35:02.676,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,72cc4096-2bac-48cf-889f-6b6fdbfb9c8d,72cc4096-2bac-48cf-889f-6b6fdbfb9c8d.compressed_content.json,
America/Toronto,1635652800000,2021-11-07 21:11:49.362,2021-11-07 21:11:47.488,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,4eac2337-56dc-4505-ae93-85f689bb7955,4eac2337-56dc-4505-ae93-85f689bb7955.compressed_content.json,
America/Toronto,1584244800000,2020-03-22 19:34:45.012,2020-03-22 19:34:43.982,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,06ccb791-8da3-4a94-b8a9-b84122c06bda,06ccb791-8da3-4a94-b8a9-b84122c06bda.compressed_content.json,
America/Toronto,1636257600000,2021-11-14 20:51:54.805,2021-11-14 20:51:52.713,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,da2929b9-b092-43c8-85af-567e226fe680,da2929b9-b092-43c8-85af-567e226fe680.compressed_content.json,
America/Toronto,1639285200000,2021-12-20 20:35:26.011,2021-12-19 20:35:11.256,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,438ed4d7-7c17-4b87-be16-3012d0718cb6,438ed4d7-7c17-4b87-be16-3012d0718cb6.compressed_content.json,
America/Toronto,1587873600000,2020-05-03 20:15:03.375,2020-05-03 20:15:02.023,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,b6be7b83-be29-450a-942f-e8158b1c2f0a,b6be7b83-be29-450a-942f-e8158b1c2f0a.compressed_content.json,
